customer_id,join_date,loyalty_tier,pref_channel,region,label_affinity,discount_sensitivity,premium_pref,primary_category
35,2025-08-31,Platinum,email,West,none,0.4703234126384295,0.9077146914812461,skin-care-sets-travel-value
36,2025-08-26,Platinum,sms,Northeast,none,0.23782126657299654,0.6597298541276069,lip-balm-lip-care
37,2025-07-30,Member,sms,South,none,0.2816107179801453,0.5646334401866954,mini-skincare
38,2025-07-06,Member,app_push,Midwest,none,0.12784467267846808,0.32870036699566635,lip-balm-lip-care
39,2025-04-13,Diamond,sms,South,none,0.05511343839398989,0.7191772482789142,facial-treatment-masks
40,2025-10-24,Member,app_push,South,none,0.1930247969340523,0.30514342024779095,mini-skincare
41,2025-05-20,Member,email,South,clean,0.2880443635421894,0.4447731771174417,eye-cream-dark-circles
42,2025-03-06,Member,email,South,none,0.4393718632799577,0.5131880763765402,face-wash-facial-cleanser
43,2025-09-11,Platinum,email,West,planet,0.23119341056113957,0.27102095443795615,face-creams
44,2025-02-18,Diamond,sms,South,none,0.371228128413812,0.6276811293655188,face-wash-facial-cleanser
45,2025-09-15,Member,email,Midwest,none,0.44479847090553376,0.7944895848362452,skin-care-sets-travel-value
46,2025-07-03,Diamond,email,Midwest,none,0.06694031554427608,0.5319530738499336,body-lotion-body-oil
47,2025-02-04,Platinum,email,West,planet,0.5374379408537366,0.6534575671160482,face-creams
48,2025-01-14,Platinum,sms,South,none,0.18811326642603587,0.8527664466195826,skin-care-sets-travel-value
49,2025-05-14,Platinum,email,Northeast,cruelty-free,0.1906452501410395,0.434665137631184,lip-balm-lip-care
50,2025-01-11,Diamond,sms,West,none,0.46596939659924447,0.6855100791402718,face-sunscreen
51,2025-02-12,Member,email,South,luxury,0.9489586149043686,0.7893361493314506,body-lotion-body-oil
52,2025-06-04,Platinum,app_push,Midwest,none,0.3090232532045626,0.48797656190367206,skin-care-sets-travel-value
53,2025-10-19,Member,sms,Midwest,none,0.3596620926865819,0.8887438626315505,face-wash-facial-cleanser
54,2025-05-20,Member,email,West,none,0.26574457252693834,0.7707472802597028,face-creams
55,2025-08-31,Platinum,email,West,none,0.6413815267369306,0.1589767921533657,face-wash-facial-cleanser
56,2025-10-03,Member,email,Midwest,none,0.37671161658861885,0.6778311257976127,face-creams
57,2025-09-05,Member,email,Northeast,none,0.399793307243248,0.7663755692908368,skin-care-sets-travel-value
58,2025-07-08,Platinum,email,West,none,0.6770208964425733,0.45239417944134563,face-creams
59,2025-05-13,Platinum,email,Northeast,none,0.1754695189794697,0.2899797485946661,face-creams
60,2025-06-04,Platinum,email,West,luxury,0.3626193457012096,0.16145124770007738,face-creams
61,2025-03-21,Member,email,Northeast,none,0.5831870492671184,0.6600706874195374,face-serum
62,2025-05-30,Platinum,email,Midwest,luxury,0.4415022520908855,0.7577045409765285,eye-cream-dark-circles
63,2025-04-24,Member,app_push,Midwest,none,0.5435753508635504,0.2587791509909501,eye-cream-dark-circles
64,2025-03-16,Platinum,sms,Northeast,none,0.7146052016544947,0.1125159972396283,mini-skincare
65,2025-10-25,Member,email,Midwest,none,0.3651340161073275,0.6035730209195546,eye-cream-dark-circles
66,2025-01-04,Member,email,South,none,0.280628130194093,0.7543844486064574,eye-cream-dark-circles
67,2025-01-30,Member,email,Northeast,none,0.5121666222463197,0.19026507988599237,skin-care-sets-travel-value
68,2025-02-27,Member,email,West,none,0.6440846358403404,0.32612184854563386,body-lotion-body-oil
69,2025-10-18,Platinum,email,Midwest,clean,0.2771532982377754,0.333593039908245,face-sunscreen
70,2025-07-27,Member,email,South,luxury,0.5159104483609903,0.3260235735321544,body-lotion-body-oil
71,2025-09-22,Platinum,email,West,clean,0.3904525218380804,0.6474569620120437,lip-balm-lip-care
72,2025-03-02,Member,sms,Northeast,none,0.3554111592882057,0.5421571527750847,skin-care-sets-travel-value
73,2025-08-05,Member,email,Northeast,none,0.3261771434172995,0.582490577794333,eye-cream-dark-circles
74,2025-04-21,Member,sms,West,none,0.2821876135114805,0.6769309802015485,eye-cream-dark-circles
75,2025-05-27,Platinum,email,Northeast,luxury,0.7312888616599585,0.8673847920393177,face-wash-facial-cleanser
76,2025-01-02,Diamond,email,West,none,0.10982433499470379,0.35051294084172224,body-lotion-body-oil
77,2025-07-05,Diamond,email,Northeast,none,0.6559375940489769,0.8375743667885038,face-wash-facial-cleanser
78,2025-09-07,Member,email,West,none,0.2555955437665422,0.6476290037854769,facial-treatment-masks
79,2025-07-19,Platinum,email,South,none,0.3537202516997863,0.418718081246621,face-sunscreen
80,2025-02-16,Member,email,Midwest,none,0.14468236467099962,0.4439744989308297,lip-balm-lip-care
81,2025-06-10,Platinum,app_push,Midwest,luxury,0.33596420889052603,0.4375591564713196,eye-cream-dark-circles
82,2025-03-22,Member,email,South,none,0.7420808807686579,0.25337876856775216,skin-care-sets-travel-value
83,2025-10-17,Member,email,South,none,0.2193017080132421,0.25654548710278924,face-creams
84,2025-09-22,Member,email,Midwest,none,0.3298632219346333,0.8587290028933474,skin-care-sets-travel-value
85,2025-02-25,Member,sms,Northeast,none,0.625752897737338,0.7801577686302789,face-sunscreen
86,2025-06-02,Platinum,app_push,West,luxury,0.19378714207219772,0.34774886750747125,skin-care-sets-travel-value
87,2025-10-09,Platinum,sms,West,none,0.40350259744613237,0.5542330312747313,face-sunscreen
88,2025-09-12,Platinum,email,Northeast,none,0.13498291406375681,0.4425563036462447,eye-cream-dark-circles
89,2025-08-01,Member,sms,South,planet,0.5966103235437897,0.6335927192957215,face-wash-facial-cleanser
90,2025-07-11,Platinum,app_push,South,clean,0.25668709888196617,0.5259484478293206,face-creams
91,2025-01-13,Member,email,Midwest,none,0.4343176218377709,0.7886077072568567,face-creams
92,2025-08-11,Member,sms,South,none,0.30731791042677997,0.743829713333509,lip-balm-lip-care
93,2025-05-23,Member,sms,South,none,0.28016675223619264,0.6622534297064366,skin-care-sets-travel-value
94,2025-01-28,Member,email,Midwest,none,0.9141405818375077,0.35890179983269255,skin-care-sets-travel-value
95,2025-03-15,Member,email,Northeast,none,0.43374691882493605,0.425537529922866,eye-cream-dark-circles
96,2025-06-12,Member,sms,Midwest,none,0.21497979617888363,0.4455098908050106,face-serum
97,2025-08-07,Member,email,Midwest,none,0.5618496212484514,0.062038348469363166,face-wash-facial-cleanser
98,2025-06-02,Member,email,Northeast,none,0.5012602568531679,0.8513036973908602,lip-balm-lip-care
99,2025-07-03,Member,email,South,none,0.34926604885475715,0.8526053009604041,eye-cream-dark-circles
100,2025-09-19,Platinum,app_push,Midwest,cruelty-free,0.31209409406589966,0.9671549265944662,eye-cream-dark-circles
101,2025-07-25,Diamond,email,West,none,0.09681444125562101,0.6738225240717964,skin-care-sets-travel-value
102,2025-04-19,Member,email,South,none,0.5462092328684182,0.23570126488173204,face-serum
103,2025-07-12,Member,email,South,none,0.44005135021391223,0.8391190393599088,facial-treatment-masks
104,2025-06-29,Platinum,app_push,West,none,0.5566278139109447,0.7397744448489748,eye-cream-dark-circles
105,2025-02-02,Member,email,Northeast,luxury,0.6560810191808948,0.7766648499285332,face-wash-facial-cleanser
106,2025-01-18,Diamond,sms,West,none,0.4491525415523624,0.8053478964045816,face-sunscreen
107,2025-07-18,Member,email,South,planet,0.5904142385907182,0.675376952694642,lip-balm-lip-care
108,2025-04-27,Member,sms,South,none,0.466919304498098,0.058668447925942856,skin-care-sets-travel-value
109,2025-06-29,Member,email,West,none,0.5189785723230596,0.5907485962505574,mini-skincare
110,2025-04-07,Member,sms,South,none,0.43156070329315716,0.5713767148657226,face-creams
111,2025-03-09,Member,email,South,none,0.33083019764543176,0.4137309887601676,face-sunscreen
112,2025-02-15,Member,sms,Northeast,none,0.08810435346262632,0.7490673490449389,mini-skincare
113,2025-04-25,Platinum,email,Midwest,none,0.7321299729630437,0.7685277343364304,face-wash-facial-cleanser
114,2025-09-02,Diamond,email,Midwest,none,0.4859696023170931,0.49359914545067696,face-serum
115,2025-05-01,Member,email,South,clean,0.34257036839044147,0.9561103593926672,face-creams
116,2025-04-24,Platinum,email,South,none,0.7696461886319146,0.822395021959962,face-sunscreen
117,2025-06-22,Member,email,South,clean,0.850428556444125,0.41093732906758373,body-lotion-body-oil
118,2025-10-21,Member,email,West,cruelty-free,0.4166257663524649,0.4904184140460979,facial-treatment-masks
119,2025-04-28,Member,email,South,none,0.40785538915547065,0.4523044252258675,eye-cream-dark-circles
120,2025-06-26,Member,email,Midwest,none,0.29609434204793833,0.3974406651461871,lip-balm-lip-care
121,2025-05-12,Platinum,app_push,West,clean,0.4843572719326487,0.4345910034983761,face-serum
122,2025-07-01,Platinum,email,South,none,0.45407575203410455,0.8740681385106346,lip-balm-lip-care
123,2025-05-14,Member,email,West,planet,0.26148239107448834,0.5142697074724267,facial-treatment-masks
124,2025-07-11,Member,sms,South,planet,0.4222940818292283,0.2559239217463962,face-wash-facial-cleanser
125,2025-06-14,Platinum,app_push,Midwest,none,0.4930499394344045,0.17468569865236522,face-sunscreen
126,2025-07-22,Diamond,sms,South,clean,0.28932529060143264,0.612049642636376,body-lotion-body-oil
127,2025-10-15,Member,email,Midwest,clean,0.7203179112811883,0.7046717674561485,mini-skincare
128,2025-02-15,Diamond,email,Midwest,luxury,0.1750048352228635,0.15772911981777366,body-lotion-body-oil
129,2025-06-18,Diamond,email,Midwest,none,0.10326569849540168,0.3108453803269435,facial-treatment-masks
130,2025-05-13,Platinum,sms,West,none,0.6217152356335186,0.8469567040835003,body-lotion-body-oil
131,2025-04-18,Platinum,email,South,none,0.6618088102284826,0.6833568719779305,mini-skincare
132,2025-03-13,Member,email,Northeast,clean,0.16606732309888242,0.5177766877159261,body-lotion-body-oil
133,2025-01-16,Member,email,West,none,0.48228955431830284,0.33356644955697345,body-lotion-body-oil
134,2025-05-01,Platinum,app_push,South,none,0.4635537859001895,0.554682800273113,face-sunscreen
135,2025-09-05,Diamond,email,Midwest,none,0.43069038211271565,0.2843149300597842,face-wash-facial-cleanser
136,2025-01-30,Member,sms,Midwest,none,0.19275706441261203,0.3793348733040366,face-sunscreen
137,2025-05-02,Member,sms,Northeast,planet,0.2814864572801259,0.8480830841245416,facial-treatment-masks
138,2025-10-18,Member,email,South,none,0.18521641769038819,0.5924902284325086,mini-skincare
139,2025-10-13,Platinum,sms,Northeast,none,0.05928800922762883,0.20051822477613204,face-sunscreen
140,2025-03-06,Member,email,Midwest,clean,0.032916606913004534,0.5650084295769056,face-wash-facial-cleanser
141,2025-01-03,Platinum,email,West,none,0.6460270151090196,0.38607706722970314,face-serum
142,2025-07-21,Member,email,Midwest,planet,0.21205600477379238,0.2753137004785174,body-lotion-body-oil
143,2025-01-05,Platinum,email,West,none,0.04299629338486581,0.35374707417812057,face-sunscreen
144,2025-04-01,Platinum,sms,South,none,0.5472469372896714,0.22505570072432657,face-serum
145,2025-05-30,Member,email,Northeast,none,0.4750184178544375,0.6018399855794068,face-serum
146,2025-09-20,Member,email,South,clean,0.25698016040109795,0.06716403044363788,face-serum
147,2025-01-28,Member,email,Northeast,none,0.3102813853122668,0.4365479880100149,face-serum
148,2025-07-18,Platinum,app_push,South,none,0.3523975765789014,0.808749781722841,face-wash-facial-cleanser
149,2025-06-09,Member,email,South,none,0.3620513250272234,0.6514625591337705,lip-balm-lip-care
150,2025-02-09,Member,email,Northeast,planet,0.48003297158057223,0.6547048414230212,face-wash-facial-cleanser
151,2025-09-11,Member,sms,Midwest,none,0.5241588862263602,0.476272694899673,eye-cream-dark-circles
152,2025-09-11,Member,app_push,Midwest,none,0.35499308040470495,0.7536477705354323,skin-care-sets-travel-value
153,2025-05-25,Platinum,sms,West,none,0.7213807630897769,0.22910851660022283,mini-skincare
154,2025-10-11,Platinum,email,West,planet,0.6570388026977628,0.5539086224886797,face-wash-facial-cleanser
155,2025-07-02,Diamond,email,South,none,0.2133426763972824,0.5379849566554097,face-sunscreen
156,2025-09-29,Platinum,email,West,none,0.2865854110770713,0.6720596645508926,face-serum
157,2025-10-16,Platinum,app_push,Midwest,planet,0.5247522941686017,0.43873107987746557,eye-cream-dark-circles
158,2025-06-20,Member,sms,South,none,0.2602203076663275,0.567640131927544,mini-skincare
159,2025-03-26,Platinum,email,West,clean,0.27194401833315174,0.5224285262357585,skin-care-sets-travel-value
160,2025-02-13,Platinum,app_push,South,none,0.3383749642280768,0.22193449935026152,face-wash-facial-cleanser
161,2025-06-18,Platinum,email,Northeast,none,0.1045678374301284,0.4369407973611964,body-lotion-body-oil
162,2025-02-27,Platinum,email,Northeast,none,0.69246843355491,0.6710760925604001,facial-treatment-masks
163,2025-08-14,Platinum,sms,South,none,0.45839561715517413,0.34101104023178336,facial-treatment-masks
164,2025-10-06,Member,app_push,Midwest,cruelty-free,0.604250081383416,0.476809357590527,face-wash-facial-cleanser
165,2025-03-15,Platinum,email,South,luxury,0.41055573238074655,0.30540359618023827,face-wash-facial-cleanser
166,2025-06-15,Member,email,Midwest,none,0.35891729181059306,0.5943904857175476,eye-cream-dark-circles
167,2025-01-15,Member,email,Northeast,none,0.45959023037722435,0.4865076543333725,eye-cream-dark-circles
168,2025-02-24,Member,sms,South,none,0.5771985560370508,0.32375263741463844,face-serum
169,2025-04-24,Member,email,South,none,0.23446268743816204,0.4425562977766478,face-creams
170,2025-09-23,Member,sms,Midwest,none,0.1867729946749075,0.47311527720042607,skin-care-sets-travel-value
171,2025-10-18,Member,sms,South,none,0.41759476084956687,0.14177077094304438,eye-cream-dark-circles
172,2025-07-12,Member,email,Northeast,none,0.4732903510113162,0.867780887949401,lip-balm-lip-care
173,2025-06-25,Platinum,app_push,South,none,0.30718825077910444,0.6725213181402875,face-serum
174,2025-06-20,Platinum,email,Midwest,planet,0.4115974071717688,0.7210225990299071,mini-skincare
175,2025-01-19,Platinum,sms,Midwest,luxury,0.4801206609958115,0.15864378610018617,lip-balm-lip-care
176,2025-04-23,Diamond,email,South,clean,0.6622965162475638,0.3671876886503757,lip-balm-lip-care
177,2025-10-22,Member,email,West,cruelty-free,0.5687097536309611,0.425012500667262,eye-cream-dark-circles
178,2025-05-04,Member,email,Northeast,none,0.22353279944214832,0.3444665572647668,skin-care-sets-travel-value
179,2025-03-05,Member,email,South,none,0.3175247037174081,0.5093967071372999,face-serum
180,2025-03-13,Member,email,South,none,0.48176144201332627,0.3773699773235199,skin-care-sets-travel-value
181,2025-08-03,Diamond,email,West,luxury,0.6422082652911254,0.2149548712762211,eye-cream-dark-circles
182,2025-01-12,Member,email,South,none,0.20251671349588396,0.4011141549453227,face-serum
183,2025-10-18,Platinum,email,Midwest,luxury,0.4338187225960984,0.14730282104362705,eye-cream-dark-circles
184,2025-09-20,Platinum,email,West,planet,0.6241437261914287,0.1904952835196164,face-serum
185,2025-06-20,Member,sms,South,none,0.5122410431243583,0.4369544154008393,body-lotion-body-oil
186,2025-05-21,Platinum,app_push,Northeast,planet,0.3218436945087332,0.22042116241727505,face-sunscreen
187,2025-08-17,Member,email,South,none,0.5290391618076314,0.37591384799278826,skin-care-sets-travel-value
188,2025-06-14,Member,app_push,South,none,0.36730105547636743,0.44713921131754986,body-lotion-body-oil
189,2025-05-24,Member,sms,Northeast,clean,0.44674386746483274,0.8615464891505626,body-lotion-body-oil
190,2025-04-07,Member,email,Northeast,planet,0.4194994888415137,0.517455780681041,face-sunscreen
191,2025-05-15,Member,email,Midwest,clean,0.2881157033217339,0.461809415638633,face-creams
192,2025-08-14,Member,app_push,West,none,0.6244492198592845,0.6008133927754995,face-wash-facial-cleanser
193,2025-01-17,Diamond,email,West,cruelty-free,0.39331648371572303,0.5399001279107946,body-lotion-body-oil
194,2025-01-08,Member,email,South,none,0.09466744029882664,0.43258836634891407,skin-care-sets-travel-value
195,2025-08-05,Member,sms,South,none,0.2070365036552798,0.6083302936653388,skin-care-sets-travel-value
196,2025-04-22,Diamond,sms,West,planet,0.5371995678475441,0.24355845497021458,skin-care-sets-travel-value
197,2025-08-30,Member,app_push,West,cruelty-free,0.8958826970328695,0.6861909432617123,face-creams
198,2025-01-10,Diamond,email,South,planet,0.42207625174998253,0.6186569475997374,eye-cream-dark-circles
199,2025-09-30,Platinum,email,West,none,0.3249244933990798,0.6190771670030222,face-creams
200,2025-02-06,Platinum,email,Midwest,cruelty-free,0.030217347656398514,0.27417587475080774,skin-care-sets-travel-value
201,2025-05-05,Member,email,Northeast,none,0.6625773075983988,0.08693743815017445,facial-treatment-masks
202,2025-10-18,Member,sms,South,cruelty-free,0.5339737653782967,0.5602993661414711,face-wash-facial-cleanser
203,2025-02-02,Member,app_push,Northeast,luxury,0.2611640013660656,0.6625418087402494,facial-treatment-masks
204,2025-07-17,Member,email,South,none,0.10726173322116736,0.5865465272288832,body-lotion-body-oil
205,2025-08-07,Member,email,South,none,0.19972051017705075,0.2719779646191638,face-serum
206,2025-05-09,Member,email,West,none,0.3875953745284227,0.495607771012248,skin-care-sets-travel-value
207,2025-01-24,Diamond,email,South,none,0.09573256769502678,0.04989423726974781,skin-care-sets-travel-value
208,2025-06-07,Member,sms,Midwest,cruelty-free,0.20223966435311924,0.6250261480427047,body-lotion-body-oil
209,2025-05-11,Diamond,app_push,Midwest,none,0.5530098385554465,0.3663807134972549,skin-care-sets-travel-value
210,2025-09-19,Platinum,email,South,none,0.46226198468984353,0.2606527997237892,mini-skincare
211,2025-07-24,Member,sms,Midwest,none,0.3175844807539306,0.5742452756063673,face-sunscreen
212,2025-04-14,Member,app_push,South,none,0.35467078551406855,0.4087077320596398,mini-skincare
213,2025-01-18,Member,email,Midwest,none,0.5188328855673151,0.7055381181239916,facial-treatment-masks
214,2025-06-27,Member,app_push,South,none,0.3225980810330862,0.8646694274363437,skin-care-sets-travel-value
215,2025-03-25,Diamond,sms,West,none,0.2529716585049924,0.15053445261788645,face-serum
216,2025-07-25,Member,sms,Northeast,cruelty-free,0.645053786960641,0.32667128573651355,lip-balm-lip-care
217,2025-09-17,Member,email,West,none,0.6578192578916802,0.26230086554839954,mini-skincare
218,2025-04-17,Member,email,Midwest,planet,0.05860121210231513,0.7060493888104126,eye-cream-dark-circles
219,2025-09-29,Platinum,email,Northeast,none,0.8319289999203504,0.5828173024527576,face-serum
220,2025-06-05,Member,app_push,Midwest,none,0.3823340275733719,0.394254809753151,face-sunscreen
221,2025-06-09,Member,app_push,South,none,0.6682673605042774,0.33570351032153745,mini-skincare
222,2025-08-18,Platinum,email,South,none,0.7301569671168525,0.25268636674257167,face-wash-facial-cleanser
223,2025-08-25,Member,email,South,none,0.7353265009219506,0.6637737950938061,mini-skincare
224,2025-09-30,Platinum,email,Midwest,clean,0.24811592743578798,0.37156445425536216,body-lotion-body-oil
225,2025-10-27,Member,sms,South,clean,0.10785096578449725,0.4458252964209582,face-sunscreen
226,2025-02-15,Member,sms,Midwest,clean,0.23288280038335007,0.821683874523298,face-wash-facial-cleanser
227,2025-05-04,Member,app_push,Northeast,luxury,0.5590504039762291,0.33470198869066997,skin-care-sets-travel-value
228,2025-10-08,Platinum,sms,Northeast,planet,0.6868032110779309,0.3556604256403015,eye-cream-dark-circles
229,2025-04-03,Diamond,email,Midwest,none,0.5087587676583613,0.3017824985991778,face-sunscreen
230,2025-01-02,Platinum,email,West,none,0.5346977274538487,0.6990642162724303,face-sunscreen
231,2025-06-22,Member,sms,Northeast,none,0.8494196878527026,0.2976907899342916,face-sunscreen
232,2025-08-14,Member,app_push,West,none,0.621350894450494,0.8457420581244618,face-sunscreen
233,2025-08-11,Member,email,South,none,0.21497174957115625,0.4600695527700875,body-lotion-body-oil
234,2025-09-01,Member,email,Midwest,none,0.32119695155769384,0.7517208357076348,skin-care-sets-travel-value
235,2025-07-13,Member,email,South,none,0.6694794967926826,0.22992236412285594,facial-treatment-masks
236,2025-02-11,Member,email,Midwest,none,0.3993159603688433,0.350206865303518,face-serum
237,2025-09-12,Diamond,email,South,none,0.5385324677556794,0.5848896983824285,face-wash-facial-cleanser
238,2025-05-06,Platinum,email,West,cruelty-free,0.2355767128327865,0.5512068481689327,lip-balm-lip-care
239,2025-09-12,Platinum,email,South,clean,0.8266500732306892,0.5761459047457378,face-sunscreen
240,2025-09-02,Platinum,email,South,none,0.4477265306430073,0.013597613654809129,lip-balm-lip-care
241,2025-10-19,Member,app_push,Midwest,cruelty-free,0.2222775019716665,0.6616883537161836,body-lotion-body-oil
242,2025-01-05,Member,app_push,Northeast,none,0.618695181816755,0.5565845989122133,face-wash-facial-cleanser
243,2025-09-17,Member,email,West,none,0.46311515377534407,0.5655669184906094,face-serum
244,2025-07-08,Member,sms,Midwest,clean,0.04520565292647164,0.4318897685264407,facial-treatment-masks
245,2025-05-26,Member,sms,West,none,0.34783953432016673,0.8930783405197272,face-serum
246,2025-08-26,Platinum,email,Northeast,none,0.4016890506868005,0.7088916519209287,face-creams
247,2025-10-13,Member,email,Midwest,none,0.621105582831426,0.4239294415633674,face-serum
248,2025-06-03,Member,email,Northeast,none,0.1369933306861925,0.5534651997217959,face-sunscreen
249,2025-01-27,Member,email,Northeast,none,0.42459588398040554,0.3207634719298329,skin-care-sets-travel-value
250,2025-08-06,Platinum,email,South,none,0.5343755845863729,0.27239102687983313,mini-skincare
251,2025-03-11,Platinum,app_push,South,planet,0.5837430228608418,0.2722120070459058,face-creams
252,2025-03-09,Platinum,email,South,none,0.7462385420485901,0.682352977783741,face-creams
253,2025-02-27,Member,email,South,none,0.3582726145723661,0.6591314117610992,lip-balm-lip-care
254,2025-03-01,Member,sms,Northeast,none,0.23022384609895727,0.31320019345039746,skin-care-sets-travel-value
255,2025-09-30,Member,email,Midwest,none,0.673180512616615,0.12184860373822846,face-wash-facial-cleanser
256,2025-04-19,Member,app_push,South,none,0.7844122397038508,0.713544343836011,face-sunscreen
257,2025-02-01,Platinum,email,South,none,0.4520684748508938,0.4793067611658906,facial-treatment-masks
258,2025-02-23,Diamond,email,West,none,0.5670278894670393,0.35259496989092026,face-serum
259,2025-04-29,Platinum,sms,Midwest,none,0.576680436973874,0.8832763140360789,lip-balm-lip-care
260,2025-04-14,Member,email,Midwest,none,0.6156191185823418,0.3429640261764326,face-serum
261,2025-04-04,Member,sms,West,none,0.4230373929516006,0.17156343118915227,face-serum
262,2025-10-12,Platinum,email,West,clean,0.4153990043244579,0.05500878758091818,face-serum
263,2025-09-17,Diamond,email,Northeast,none,0.16032539927577938,0.30295791821831003,facial-treatment-masks
264,2025-06-21,Member,sms,West,none,0.4490133336000387,0.3685800387482469,face-serum
265,2025-10-23,Member,email,South,none,0.30585740560747704,0.7499189975619865,body-lotion-body-oil
266,2025-04-13,Member,app_push,South,none,0.42717946130585066,0.5490682552431475,face-sunscreen
267,2025-02-11,Platinum,email,South,none,0.7681071864917798,0.592630659412517,lip-balm-lip-care
268,2025-03-23,Platinum,email,South,none,0.5687545107393508,0.22106308467178026,skin-care-sets-travel-value
269,2025-01-27,Member,app_push,South,none,0.3735438936672351,0.5116497014440625,face-sunscreen
270,2025-10-13,Member,email,Northeast,none,0.9240605776614899,0.6269646825948209,mini-skincare
271,2025-03-07,Member,email,Midwest,none,0.445473063230475,0.719946006554012,facial-treatment-masks
272,2025-05-14,Member,email,South,none,0.4991795224791357,0.7197082220519716,eye-cream-dark-circles
273,2025-03-02,Platinum,sms,Midwest,none,0.20834073273478204,0.17373138991884576,face-wash-facial-cleanser
274,2025-10-22,Platinum,email,Midwest,clean,0.05346506860700983,0.7867390488217987,face-sunscreen
275,2025-02-17,Diamond,sms,Midwest,cruelty-free,0.46891782317596736,0.7316128081623703,mini-skincare
276,2025-06-04,Member,app_push,Northeast,none,0.3496095709398189,0.1888136821356671,skin-care-sets-travel-value
277,2025-10-13,Member,sms,South,none,0.05609454315480035,0.4107193183361696,facial-treatment-masks
278,2025-06-06,Platinum,sms,South,cruelty-free,0.6145207053083185,0.4421776340300643,facial-treatment-masks
279,2025-09-27,Platinum,app_push,Midwest,none,0.22285551025467382,0.4965574145405788,lip-balm-lip-care
280,2025-09-26,Member,email,Midwest,cruelty-free,0.3093838586455579,0.6113818510817358,face-wash-facial-cleanser
281,2025-08-19,Member,app_push,South,none,0.09807096762323113,0.6900268387307676,facial-treatment-masks
282,2025-08-11,Platinum,sms,Midwest,none,0.4286607657764637,0.3713756179483663,face-creams
283,2025-06-22,Platinum,email,Northeast,planet,0.221006698802611,0.5425015673461863,skin-care-sets-travel-value
284,2025-06-24,Member,email,West,luxury,0.04610174441327879,0.2800612681817809,lip-balm-lip-care
